NDC,MKTED_PROD_NM,GPI10_DESC,GPI,GPI_DESC,DOSAGE_FORM_CD,ROUTE_ADM_CD,USC_CD,USC_DESC,STRNT_DESC,TPTY_RECV_ADD_DT,OBSOLETE_DT,CMF_PROD_NBR,CMF_PPK_NBR,MKTDEF_NM,PROD_CUSTOM_LVL1_DESC,PROD_CUSTOM_LVL2_DESC,DISPLAY_ORDER_NBR
68788013402,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,05/15/2014,,1016581,1016581001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868570900,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102560,Albuterol Sulfate Soln Nebu 1.25 MG/3ML (Base Equiv),NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",1.25 MG/3 ML,05/15/2007,07/07/2015,1016531,1016531016,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868340700,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,07/28/1995,07/07/2015,1016531,1016531014,OTHER PPP TREATMENTS,2,ALBUTEROL,1
66794000330,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,04/04/2002,,1016539,1016539003,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868247200,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,10/21/2003,07/07/2015,1016531,1016531003,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868247201,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,10/28/1993,07/07/2015,1016531,1016531003,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107302,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,10/14/1994,07/07/2015,1016531,1016531005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107304,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,10/14/1994,07/07/2015,1016531,1016531005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107306,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,10/14/1994,07/07/2015,1016531,1016531005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868288700,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,10/14/1994,07/07/2015,1016531,1016531004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107303,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,10/14/1994,07/07/2015,1016531,1016531005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107405,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,05/25/1997,07/07/2015,1016531,1016531010,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107407,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/28/1995,07/07/2015,1016531,1016531010,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54868107403,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,10/14/1994,07/07/2015,1016531,1016531010,OTHER PPP TREATMENTS,2,ALBUTEROL,1
21695033225,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,04/05/2007,04/12/2014,1016565,1016565002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
21695033230,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,08/29/2011,04/12/2014,1016565,1016565002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54348067130,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,01/01/1997,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54348000804,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,01/01/1997,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
21695024520,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,02/05/2008,04/12/2014,1016565,1016565003,OTHER PPP TREATMENTS,2,ALBUTEROL,1
21695035016,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,04/18/2008,04/12/2014,1016565,1016565004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00472083230,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00472083160,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,07/23/1999,,1016462,1016462008,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00472082504,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,01/28/2000,04/12/2010,1016462,1016462006,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00472082516,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,11/03/1995,04/19/2016,1016462,1016462006,OTHER PPP TREATMENTS,2,ALBUTEROL,1
55289003904,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,06/10/1994,,1016543,1016543005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
55289036330,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,11/13/1995,,1016543,1016543001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
55289036320,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,12/20/1993,,1016543,1016543001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
55289036324,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,04/09/1998,,1016543,1016543001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
55289004530,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,12/20/1993,,1016543,1016543004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047312,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/07/1995,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047390,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/01/1993,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047300,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/07/1995,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047315,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/07/1995,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047320,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/07/1995,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047324,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/07/1995,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016047330,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/01/1993,01/18/2013,1016532,1016532005,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016060312,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/07/1995,01/18/2013,1016532,1016532012,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016060315,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/07/1995,01/18/2013,1016532,1016532012,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016060320,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/07/1995,01/18/2013,1016532,1016532012,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016060324,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/07/1995,01/18/2013,1016532,1016532012,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016060330,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/01/1993,01/18/2013,1016532,1016532012,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016060300,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,07/01/1993,01/18/2013,1016532,1016532012,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016501801,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,07/01/1993,01/18/2013,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016501820,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,08/22/1995,01/18/2013,1016532,1016532018,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016640420,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,11/06/1995,01/18/2013,1016532,1016532018,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016048748,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
58016048724,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
76204020025,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,01/12/2012,,1016577,1016577001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
76204020060,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,01/12/2012,,1016577,1016577001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
76204020030,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,01/12/2012,,1016577,1016577001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
76204020001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,03/27/2013,,1016577,1016577001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
49999090120,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,03/01/2007,,1016538,1016538002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
49999090102,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,01/17/2007,,1016538,1016538002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
49999033816,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,02/10/2004,,1016538,1016538001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
49999034425,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,02/10/2004,,1016538,1016538007,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00247026420,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,01/01/1996,02/03/2012,1016535,1016535001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00247026430,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,01/01/1996,02/03/2012,1016535,1016535001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00247026415,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,01/01/1996,02/03/2012,1016535,1016535001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00247026515,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,01/01/1996,02/03/2012,1016535,1016535004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00247026520,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,01/01/1996,02/03/2012,1016535,1016535004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00247026530,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,01/01/1996,02/03/2012,1016535,1016535004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
53489017601,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,12/05/1988,,1016442,1016442001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
53489017605,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,12/05/1988,,1016442,1016442001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
53489017705,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,12/05/1988,,1016442,1016442006,OTHER PPP TREATMENTS,2,ALBUTEROL,1
53489017701,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,12/05/1988,,1016442,1016442006,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00182601465,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,01/31/1992,12/09/2009,1016504,1016504008,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00093066116,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,04/28/1992,,1016504,1016504010,OTHER PPP TREATMENTS,2,ALBUTEROL,1
43683010001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,03/01/2010,08/05/2014,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
42549071025,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,08/06/2013,04/12/2014,1016560,1016560002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00591379760,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,11/09/2010,,1016462,1016462008,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00591379783,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,11/09/2010,,1016462,1016462008,OTHER PPP TREATMENTS,2,ALBUTEROL,1
33261061001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,07/09/2014,,1016582,1016582001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
16252009722,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,04/25/2006,11/03/2010,1016462,1016462008,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54569389900,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,10/24/1994,,1016529,1016529009,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54569390000,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102520,Albuterol Sulfate Soln Nebu 0.5%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.5%,10/24/1994,,1016529,1016529007,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54569287401,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100310,Albuterol Sulfate Tab 4 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",4 MG,01/02/1992,,1016529,1016529004,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54569370002,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,04/05/2002,,1016529,1016529001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54569340900,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,12/16/1991,,1016529,1016529003,OTHER PPP TREATMENTS,2,ALBUTEROL,1
63874070924,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,10/18/2007,,1016568,1016568001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
63874070948,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,10/18/2007,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
63874070912,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,10/18/2007,,1016568,1016568001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
